OBJECTID,Name,Support Centre,Latitude,Longitude,Council Area,Unit Operating Times,Date,Lifesaving Area,x,y
1351,Hope Cove,Kingsbridge,50.245995,-3.859154,South Hams,https://rnli.org/find-my-nearest/lifeguarded-beaches/hope-cove-beach,2009,SW2,-3.85915399999993,50.2459950000001
1352,Hornsea,Scarborough,53.912349,-0.160317,East Riding,https://rnli.org/find-my-nearest/lifeguarded-beaches/hornsea-beach,2009,NE2,-0.160316999999964,53.9123490000001
1353,Joss Bay,Ramsgate,51.379564,1.445837,Thanet,https://rnli.org/find-my-nearest/lifeguarded-beaches/joss-bay-beach,2012,SE2,1.44583700000004,51.3795640000001
1354,Kennack,Helston,50.005781,-5.163442,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/kennack-beach,2008,SW4,-5.16344199999997,50.0057810000001
1355,King Edward's Bay,Boldon,55.018604,-1.420373,North Tyneside,https://rnli.org/find-my-nearest/lifeguarded-beaches/king-edwards-bay-beach,,NE1,-1.42037299999993,55.018604
1356,Langland,Swansea,51.568365,-4.01003,Swansea,https://rnli.org/find-my-nearest/lifeguarded-beaches/langland-beach,2009,WW5,-4.01002999999997,51.568365
1357,Le Braye,Jersey,49.198043,-2.225534,Jersey,https://rnli.org/find-my-nearest/lifeguarded-beaches/le-braye-beach,2014,SW1,-2.22553399999993,49.198043
1358,Leven,Glenrothes,56.199742,-2.984491,Fife ,https://rnli.org/find-my-nearest/lifeguarded-beaches/leven-beach,2015,SC3,-2.98449099999993,56.1997420000001
1359,Leysdown-on-Sea,Ramsgate,51.39968,0.922633,Swale,https://rnli.org/find-my-nearest/lifeguarded-beaches/leysdown-on-sea-beach,2013,SE2,0.922633000000076,51.39968
1360,Littlehampton East (East),Chichester,50.802401,-0.535654,Arun,https://rnli.org/find-my-nearest/lifeguarded-beaches/littlehampton-east-beach-east-lifeguard-unit,2013,SE5,-0.535653999999965,50.802401
1361,Littlehampton East (West),Chichester,50.802261,-0.541589,Arun,https://rnli.org/find-my-nearest/lifeguarded-beaches/littlehampton-east-beach-west-lifeguard-unit,2013,SE5,-0.541588999999931,50.802261
1362,Llangrannog,Cardigan,52.159952,-4.471006,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/llangrannog-beach,2009,WW4,-4.47100599999993,52.159952
1363,Llantwit Major,Bridgend,51.396816,-3.502297,Vale of Glamorgan,https://rnli.org/find-my-nearest/lifeguarded-beaches/llantwit-major-beach,,WW5,-3.50229699999994,51.3968160000001
1364,Lowestoft North,Catfield,52.467359,1.746631,East Suffolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/lowestoft-north-beach,2013,NE4,1.74663100000004,52.467359
1365,Lowestoft South,Catfield,52.463616,1.744385,East Suffolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/lowestoft-south-beach,2013,NE4,1.74438500000002,52.4636160000001
1366,Lyme Regis (Cobb),Weymouth,50.722587,-2.93775,Lyme Regis,https://rnli.org/find-my-nearest/lifeguarded-beaches/lyme-regis-beach,,SW2,-2.93774999999994,50.722587
1367,Mablethorpe,Skegness,53.344014,0.264248,East Lindsey,https://rnli.org/find-my-nearest/lifeguarded-beaches/mablethorpe-beach,2009,NE3,0.264248000000066,53.3440140000001
1368,Manor Steps ,Poole,50.720462,-1.832478,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/manor-steps-beach,2002,SE5,-1.83247799999998,50.7204620000001
1369,Marazion,Hayle,50.124568,-5.477058,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/marazion-beach,2008,SW4,-5.47705799999994,50.1245680000001
1370,Margate Main,Ramsgate,51.387528,1.37627,Thanet,https://rnli.org/find-my-nearest/lifeguarded-beaches/margate-main-beach,2012,SE2,1.37627000000003,51.387528
1371,Mawgan Porth,Newquay,50.466171,-5.031625,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/mawgan-porth-beach,2001,SW4,-5.03162499999996,50.466171
1372,Mexico Towans,Hayle,50.200758,-5.423498,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/mexico-towans-beach,2008,SW4,-5.42349799999994,50.2007580000001
1373,Minnis Bay,Ramsgate,51.378469,1.280985,Thanet,https://rnli.org/find-my-nearest/lifeguarded-beaches/minnis-bay-beach,2012,SE2,1.28098500000004,51.3784690000001
1374,Minster-on-Sea,Ramsgate,51.433289,0.803683,Swale,https://rnli.org/find-my-nearest/lifeguarded-beaches/minster-on-sea-beach,2013,SE1,0.803683000000035,51.4332890000001
1375,Moreton,Wirral,53.416245,-3.11883,Wirral,https://rnli.org/find-my-nearest/lifeguarded-beaches/moreton-beach,2015,WW2,-3.11882999999995,53.4162450000001
1376,Mundesley,Catfield,52.878242,1.438263,North Norfolk,https://rnli.org/find-my-nearest/lifeguarded-beaches/mundesley-beach,2007,NE3,1.43826300000006,52.8782420000001
1377,Murlough,Ballymoney,54.231203,-5.854077,"Newry City, Mourne and Down District",https://rnli.org/find-my-nearest/lifeguarded-beaches/murlough-beach,2012,IR1,-5.85407699999996,54.2312030000001
1378,New Quay Harbour,Cardigan,52.214024,-4.357856,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/new-quay-harbour-beach,2009,WW4,-4.35785599999997,52.2140240000001
1379,Newgale North,Haverfordwest,51.8574903240001,-5.12740252899994,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/newgale-north-beach,2015,WW4,-5.12740252899994,51.8574903240001
1380,Newgale South,Haverfordwest,51.846265,-5.118391,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/newgale-south-beach,2008,WW4,-5.11839099999997,51.8462650000001
1381,Newport Sands,Cardigan,52.028844,-4.837494,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/newport-sands-beach,2008,WW4,-4.83749399999994,52.028844
1382,Nolton Haven,Haverfordwest,51.82489,-5.107729,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/nolton-haven-beach,2008,WW4,-5.10772899999995,51.82489
1383,Northcott,Bude,50.848316,-4.554697,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/northcott-beach,2006,SW3,-4.55469699999998,50.8483160000001
1384,Ogmore,Bridgend,51.467485,-3.640343,Vale of Glamorgan,https://rnli.org/find-my-nearest/lifeguarded-beaches/ogmore-beach,2012,WW5,-3.64034299999997,51.4674850000001
1385,Pembrey,Swansea,51.674335,-4.313718,Carmarthenshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/pembrey-beach,2009,WW5,-4.31371799999994,51.674335
1386,Pendine Sands,Haverfordwest,51.742171,-4.556849,Pendine,https://rnli.org/find-my-nearest/lifeguarded-beaches/pendine-beach,2019,WW5,-4.55684899999994,51.742171
1387,New Brighton (Perch Rock),Wirral,53.440695,-3.039174,Wirral,https://rnli.org/find-my-nearest/lifeguarded-beaches/new-brighton-perch-rock-beach,2015,WW2,-3.03917399999995,53.4406950000001
1388,Perran Sands,Perranporth,50.358666,-5.151048,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/perran-sands-beach,2002,SW4,-5.15104799999995,50.358666
1389,Perranporth,Perranporth,50.349577,-5.15315,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/perranporth-beach,2002,SW4,-5.15314999999993,50.3495770000001
1390,Plémont,Jersey,49.256696,-2.229284,Jersey,https://rnli.org/find-my-nearest/lifeguarded-beaches/plemont-beach,2011,SW1,-2.22928399999995,49.256696
1391,Poldhu Cove,Helston,50.033892,-5.259869,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/poldhu-cove-beach,2008,SW4,-5.25986899999998,50.033892
1392,Polurrian Cove,Helston,50.02414,-5.255967,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/polurrian-cove-beach,2008,SW4,-5.25596699999994,50.02414
1393,Polzeath,Padstow,50.5736,-4.9141,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/polzeath-beach,2004,SW3,-4.91409999999996,50.5736000000001
1394,Poppit Sands,Cardigan,52.105223,-4.698925,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/poppit-sands-beach,2008,WW4,-4.69892499999997,52.1052230000001
1395,Port Eynon,Swansea,51.544189,-4.209444,Swansea,https://rnli.org/find-my-nearest/lifeguarded-beaches/port-eynon-beach,2009,WW5,-4.20944399999996,51.5441890000001
1396,Porth,Newquay,50.424035,-5.058178,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porth-beach,2001,SW4,-5.05817799999994,50.4240350000001
1397,Porthcothan,Padstow,50.508842,-5.023238,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthcothan-beach,2004,SW4,-5.02323799999994,50.5088420000001
1398,Porthcurno,Hayle,50.043544,-5.651546,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthcurno-beach,2008,SW4,-5.65154599999994,50.0435440000001
1399,Porthkidney,Hayle,50.19341,-5.439473,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthkidney-beach,2008,SW4,-5.43947299999996,50.19341
1400,Porthleven,Helston,50.080985,-5.313652,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthleven-beach,2008,SW4,-5.31365199999993,50.0809850000001
1401,Porthmeor,Hayle,50.214941,-5.483153,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthmeor-beach,2008,SW4,-5.48315299999996,50.2149410000001
1402,Porthminster,Hayle,50.208634,-5.476301,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthminster-beach,2008,SW4,-5.47630099999998,50.2086340000001
1403,Porthtowan,Perranporth,50.286706,-5.242265,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/porthtowan-beach,2002,SW4,-5.24226499999997,50.286706
1404,Portreath,Perranporth,50.260824,-5.293907,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/portreath-beach,2008,SW4,-5.29390699999993,50.2608240000001
1405,Portrush East Strand,Ballymoney,55.20411,-6.647038,Causeway Coast and Glens,https://rnli.org/find-my-nearest/lifeguarded-beaches/portrush-east-beach,2011,IR1,-6.64703799999995,55.2041100000001
