OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date,x,y
919,OB02002134,ON1245 Trent ALB Inner Wheel II,Barry Dock ALB,51.39315033,-3.261497021,Barry Dock ALB,51.39315033,-3.261497021,ON1245,14-29,232004396,Trent,Afloat Boat,AfloatBoat,MK2Trent,01/06/1999,-3.26149702099997,51.39315033
920,OB02004482,XP-Class Avon MK1 Rollaway 2-81,Barry Dock ALB,51.39315033,-3.261497021,NULL,NULL,NULL,,XP-50,,XP-Class,Avon,Avon,MK1Rollaway2-81,01/01/1900,-3.26149702099997,51.39315033
921,OB02029125,D-Class ILB Frances Mary Corscaden,Barry Dock ILB D,51.39315033,-3.26149702,Barry Dock ILB D,51.39315033,-3.26149702,,D-820,232010159,D-Class,IB1 variant,IB1,MK2IB1,29/03/2018,-3.26149701999998,51.39315033
922,OB02006322,B-Class A85 Annette Mary Liddington,Beaumaris ILB B,53.26221466,-4.090854168,Beaumaris ILB B,53.26221466,-4.090854168,,B-838,235102922,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,05/01/2010,-4.09085416799996,53.26221466
923,OB02006494,Y-Class Avon / ILC MK1 3-5M,Bembridge ALB,50.68859482,-1.072437048,NULL,NULL,NULL,,Y-217,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,15/06/2010,-1.07243704799993,50.68859482
924,OB02004856,ON1297 Tamar ALB Alfred Albert Williams,Bembridge ALB,50.68859482,-1.072437048,Bembridge ALB,50.68859482,-1.072437048,ON1297,16-17,235050723,Tamar,Slipway Boat,SlipwayBoat,MK1Tamar,15/06/2010,-1.07243704799993,50.68859482
925,OB02016850,D-Class ILB Norman Harvey,Bembridge ILB D,50.68859482,-1.072437048,Bembridge ILB D,50.68859482,-1.072437048,,D-778,235108812,D-Class,IB1 variant,IB1,MK2IB1,01/01/1900,-1.07243704799993,50.68859482
926,OB02033029,B-Class A85 Pride of Fred. Olsen,Berwick-Upon-Tweed ILB B,55.760948181,-2.0002679825,NULL,NULL,NULL,,B-913,232016614,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,19/12/2018,-2.00026798299996,55.7609481810001
927,OB02016457,D-Class ILB Vi and Charles Hogbin,Berwick-Upon-Tweed ILB D,55.76094818,-2.000267982,Berwick-Upon-Tweed ILB D,55.76094818,-2.000267982,,D-777,235107685,D-Class,IB1 variant,IB1,MK2IB1,23/12/2014,-2.00026798199997,55.7609481800001
928,OB02012488,B-Class A85 William and Eleanor,Blackpool ILB B,53.81344223,-3.056097984,Blackpool ILB B,53.81344223,-3.056097984,,B-867,235097644,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,22/04/2013,-3.05609798399996,53.8134422300001
